id, number, label
0, 7, EASY
1, 2, EASY
2, 1, EASY
3, 0, EASY
4, 4, EASY
5, 1, EASY
6, 4, EASY
7, 9, EASY
8, 5, HARD
9, 9, EASY
10, 0, EASY
11, 6, EASY
12, 9, EASY
13, 0, EASY
14, 1, EASY
15, 5, EASY
16, 9, EASY
17, 7, EASY
18, 3, EASY
19, 4, EASY
20, 9, EASY
21, 6, EASY
22, 6, EASY
23, 5, EASY
24, 4, EASY
25, 0, EASY
26, 7, EASY
27, 4, EASY
28, 0, EASY
29, 1, EASY
30, 3, EASY
31, 1, EASY
32, 3, EASY
33, 4, EASY
34, 7, EASY
35, 2, EASY
36, 7, EASY
37, 1, EASY
38, 2, EASY
39, 1, EASY
40, 1, EASY
41, 7, EASY
42, 4, EASY
43, 2, EASY
44, 3, EASY
45, 5, EASY
46, 1, EASY
47, 2, EASY
48, 4, EASY
49, 4, EASY
50, 6, EASY
51, 3, EASY
52, 5, EASY
53, 5, EASY
54, 6, EASY
55, 0, EASY
56, 4, EASY
57, 1, EASY
58, 9, EASY
59, 5, EASY
60, 7, EASY
61, 8, EASY
62, 9, EASY
63, 3, HARD
64, 7, EASY
65, 4, EASY
66, 6, EASY
67, 4, EASY
68, 3, EASY
69, 0, EASY
70, 7, EASY
71, 0, EASY
72, 2, EASY
73, 9, EASY
74, 1, EASY
75, 7, EASY
76, 3, EASY
77, 2, EASY
78, 9, EASY
79, 7, EASY
80, 7, EASY
81, 6, EASY
82, 2, EASY
83, 7, EASY
84, 8, EASY
85, 4, EASY
86, 7, EASY
87, 3, EASY
88, 6, EASY
89, 1, EASY
90, 3, EASY
91, 6, EASY
92, 9, EASY
93, 3, EASY
94, 1, EASY
95, 4, EASY
96, 1, EASY
97, 7, EASY
98, 6, EASY
99, 9, EASY
100, 6, EASY
101, 0, EASY
102, 5, EASY
103, 4, EASY
104, 9, EASY
105, 9, EASY
106, 2, EASY
107, 1, EASY
108, 9, EASY
109, 4, EASY
110, 8, EASY
111, 7, EASY
112, 3, EASY
113, 9, EASY
114, 7, EASY
115, 4, EASY
116, 4, EASY
117, 4, EASY
118, 9, EASY
119, 2, EASY
120, 5, EASY
121, 4, EASY
122, 7, EASY
123, 6, EASY
124, 7, HARD
125, 9, EASY
126, 0, EASY
127, 5, EASY
128, 8, EASY
129, 5, EASY
130, 6, EASY
131, 6, EASY
132, 5, EASY
133, 7, EASY
134, 8, EASY
135, 1, EASY
136, 0, EASY
137, 1, EASY
138, 6, EASY
139, 4, EASY
140, 6, EASY
141, 7, EASY
142, 3, EASY
143, 1, EASY
144, 7, EASY
145, 1, EASY
146, 8, EASY
147, 2, EASY
148, 0, EASY
149, 2, HARD
150, 9, EASY
151, 9, HARD
152, 5, EASY
153, 5, EASY
154, 1, EASY
155, 5, EASY
156, 6, EASY
157, 0, EASY
158, 3, EASY
159, 4, EASY
160, 4, EASY
161, 6, EASY
